question,response,label,category,source
How do you handle conflict at work?,"I believe in addressing conflicts directly but professionally. Once, I had a disagreement with a colleague about project approach. I scheduled a private meeting to discuss our perspectives and found common ground.",1,conflict_resolution,interview_train
Explain the concept of microservices,It's breaking down applications.,0,architecture,interview_train
Explain the difference between HTTP and HTTPS,HTTPS is more secure than HTTP.,0,security,interview_train
Describe database normalization,It's making databases better.,0,database,interview_train
How do you handle work-life balance?,"I work whenever I need to, even on weekends.",0,work_life_balance,interview_train
What is CI/CD?,It's about automating things.,0,automation,interview_train
How do you handle tight deadlines?,"I break down large tasks into smaller, manageable chunks and create a detailed timeline. I also communicate early if I foresee any potential delays and work with stakeholders to adjust expectations.",1,time_management,interview_train
How do you handle work-life balance?,I maintain clear boundaries by setting specific work hours and using time management techniques. I also make sure to take regular breaks and use my vacation time effectively.,1,work_life_balance,interview_train
How do you handle constructive criticism?,"I view constructive criticism as an opportunity for growth. I listen carefully, ask clarifying questions, and create an action plan to address the feedback.",1,feedback_handling,interview_train
What is the difference between synchronous and asynchronous programming?,Async is faster than sync.,0,programming_paradigms,interview_train
What motivates you at work?,I'm motivated by solving complex problems and seeing the impact of my work. I particularly enjoy when my solutions help improve efficiency or user experience.,1,motivation,interview_train
How do you prioritize your work?,I just do whatever seems most important at the time.,0,organization,interview_train
Explain the concept of Big O notation,Big O notation describes the performance or complexity of an algorithm. It helps us understand how an algorithm's running time grows as the input size increases.,1,algorithms,interview_train
How do you stay updated with industry trends?,"I regularly attend industry conferences, follow relevant blogs and podcasts, and participate in online courses. I also maintain a network of professionals who share insights about emerging trends.",1,professional_development,interview_train
What's your greatest strength and weakness?,"My greatest strength is my problem-solving ability, which I demonstrate through my systematic approach to challenges. As for weaknesses, I'm working on improving my public speaking skills by taking courses and practicing regularly.",1,self_awareness,interview_train
What is the difference between GET and POST requests?,"GET is for reading, POST is for writing.",0,http_methods,interview_train
Explain the difference between HTTP and HTTPS,"HTTP is unsecured protocol for web communication, while HTTPS adds a security layer using SSL/TLS encryption to protect data transmission between client and server.",1,security,interview_train
